"date","approx_percentage_new_positive_tests","approx_percentage_total_positve_tests","tests_per_case","percentage_vaccinated","percentage_fully_vaccinated","percentage_new_vaccinated","population_density","percentage_population_over_65","gdp_per_capita","percentage_cardiovascular_death","diabetes_prevalence","hospital_beds_per_100","life_expectancy","human_development_index","stringency_index","percentage_avg_new_deaths_by_country","percentage_total_deaths","perecentage_new_deaths"
53,0.0178676771956324,1.8329391974868,26.8,5.33797381497327,2.88711871067372,0.296803547827048,83.479,0.0001956815736191,24574.382,0.175695,4.55,0.421,82.24,0.888,80.56,0.000234328995490789,0.0617765077727684,0.000278229340799858
54,0.0167942108341354,1.89927230555031,26.6,5.48950327044199,3.00916545013286,0.27357619492786,83.479,0.0001956815736191,24574.382,0.175695,4.55,0.421,82.24,0.888,80.56,0.000234328995490789,0.0620547371135682,0.000278229340799858
14,0.00830345691408696,2.10691058812569,12.3,1.34248759102931,0.0170076653537398,0.0843033637497606,108.043,0.000192301521166417,26777.561,0.278296,7.55,0.702,76.88,0.854,72.22,0.000894810855353236,0.118101311029104,0.000703908243490143
15,0.00440760427934806,2.16334067606246,12.1,1.34899874228159,0.0304233283473166,0.0199268142458607,108.043,0.000192301521166417,26777.561,0.278296,7.55,0.702,76.88,0.854,72.22,0.000894810855353236,0.119250337720683,0.0011490266915795
16,0.0134198553882623,2.12463184046127,12.3,1.3928480852143,0.041716915018607,0.0551429296039999,108.043,0.000192301521166417,26777.561,0.278296,7.55,0.702,76.88,0.854,72.22,0.000894810855353236,0.120233738943206,0.000983401222522994
17,0.0127384929117475,2.08491028792953,12.6,1.43869528536751,0.0601945064102232,0.0643247915448198,108.043,0.000192301521166417,26777.561,0.278296,7.55,0.702,76.88,0.854,72.22,0.000894810855353236,0.121248194941177,0.00101445599797109
18,0.0145853100560539,2.07310432851812,12.8,1.48218232258666,0.0718814535705228,0.0551739843794479,108.043,0.000192301521166417,26777.561,0.278296,7.55,0.702,76.88,0.854,72.22,0.000894810855353236,0.122262650939148,0.00101445599797109
19,0.0139183776985306,2.08702270621665,12.8,1.50364117242129,0.0842101994234163,0.0337875956875269,108.043,0.000192301521166417,26777.561,0.278296,7.55,0.702,76.88,0.854,72.22,0.000894810855353236,0.123225348978039,0.00096269803889093
20,0.0134450511627425,2.12722445874114,12.7,1.51852676145274,0.0973360178461443,0.0280114074541813,108.043,0.000192301521166417,26777.561,0.278296,7.55,0.702,76.88,0.854,72.22,0.000894810855353236,0.123887850854265,0.000662501876226017
21,0.00812591676285021,2.10842348362119,12.8,1.54938485665633,0.130833768962822,0.0643558463202679,108.043,0.000192301521166417,26777.561,0.278296,7.55,0.702,76.88,0.854,72.22,0.000894810855353236,0.124467539995963,0.000579689141697765
